dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,22.68763976097107,0.3487286161231553,0.04042716026306152,0.005959183784989187,0.7349237897547513,0.8909169146276452,1,181,"OrderedDict([('model__max_features', 0.7349237897547513), ('model__max_samples', 0.8909169146276452), ('model__min_samples_leaf', 1), ('model__n_estimators', 181)])",0.837,0.838,0.822,0.854,0.842,0.8385999999999999,0.010268398122394759,30
0,4.580353546142578,0.06883122814496163,0.04856128692626953,0.0015324964702185112,0.9956069319354134,0.6647149367396082,250,474,"OrderedDict([('model__max_features', 0.9956069319354134), ('model__max_samples', 0.6647149367396082), ('model__min_samples_leaf', 250), ('model__n_estimators', 474)])",0.799,0.813,0.802,0.826,0.816,0.8112,0.009785703858180015,48
0,22.504263973236085,0.27748173501915835,0.07613191604614258,0.009708066639565796,0.42599582913327516,0.5844114143546926,1,437,"OrderedDict([('model__max_features', 0.42599582913327516), ('model__max_samples', 0.5844114143546926), ('model__min_samples_leaf', 1), ('model__n_estimators', 437)])",0.839,0.846,0.828,0.855,0.848,0.8432000000000001,0.009152048950918049,9
0,13.71535496711731,0.18234349300095443,0.0851109504699707,0.008826980152011584,0.23705180609282603,0.5,1,500,"OrderedDict([('model__max_features', 0.23705180609282603), ('model__max_samples', 0.5), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.841,0.847,0.823,0.856,0.847,0.8428000000000001,0.010998181667894026,13
0,28.094943618774415,0.4522308347866279,0.08831114768981933,0.02315979802460303,0.5653812174096899,0.5533428488055651,1,451,"OrderedDict([('model__max_features', 0.5653812174096899), ('model__max_samples', 0.5533428488055651), ('model__min_samples_leaf', 1), ('model__n_estimators', 451)])",0.838,0.838,0.825,0.856,0.846,0.8405999999999999,0.010229369482035545,28
0,25.989699840545654,0.25595169994995526,0.09891057014465332,0.011885563582621992,0.2523643372697381,1.0,1,500,"OrderedDict([('model__max_features', 0.2523643372697381), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.843,0.842,0.828,0.855,0.848,0.8432000000000001,0.008885943956609233,9
0,22.108307123184204,0.3124658047596315,0.10613141059875489,0.013289263324615228,0.20297079785232533,1.0,1,500,"OrderedDict([('model__max_features', 0.20297079785232533), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.845,0.848,0.826,0.851,0.85,0.844,0.009230384607371469,6
0,3.0669883728027343,0.05594677902930001,0.04202361106872558,0.004293784487873236,0.8242784709724335,0.611482457557379,250,380,"OrderedDict([('model__max_features', 0.8242784709724335), ('model__max_samples', 0.611482457557379), ('model__min_samples_leaf', 250), ('model__n_estimators', 380)])",0.803,0.814,0.802,0.828,0.816,0.8126,0.009541488353501212,47
0,21.63390064239502,0.36391488756733037,0.10235624313354492,0.014429436530638114,0.1969176395123471,1.0,1,500,"OrderedDict([('model__max_features', 0.1969176395123471), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.843,0.845,0.825,0.857,0.846,0.8432000000000001,0.01032279032045116,9
0,4.805325126647949,0.07452742962983636,0.03064718246459961,0.004123962144098703,0.21451607742814005,1.0,1,100,"OrderedDict([('model__max_features', 0.21451607742814005), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.843,0.845,0.828,0.854,0.845,0.843,0.00841427358718506,12
