dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__eta,param_model__max_depth,param_model__min_child_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1,0.09041261672973633,0.004840364764789784,0.007111835479736328,0.0004894584987041351,0.4678860424711244,0.09548264612185224,4,4,"OrderedDict([('model__alpha', 0.4678860424711244), ('model__eta', 0.09548264612185224), ('model__max_depth', 4), ('model__min_child_weight', 4)])",0.943,0.946,0.943,0.943,0.941,0.9432,0.0016000000000000014,35
1,0.09671072959899903,0.007381543372217711,0.010979986190795899,0.001777878347928875,0.12172976749510152,0.08055815847333732,7,17,"OrderedDict([('model__alpha', 0.12172976749510152), ('model__eta', 0.08055815847333732), ('model__max_depth', 7), ('model__min_child_weight', 17)])",0.943,0.944,0.946,0.948,0.944,0.945,0.0017888543819998333,29
1,0.10356364250183106,0.008426093904332597,0.01089792251586914,0.0004717116594492675,0.05212131190318165,0.0937208396057958,10,16,"OrderedDict([('model__alpha', 0.05212131190318165), ('model__eta', 0.0937208396057958), ('model__max_depth', 10), ('model__min_child_weight', 16)])",0.942,0.949,0.942,0.947,0.945,0.9450000000000001,0.0027568097504180465,28
1,0.12511935234069824,0.004514576230886652,0.010709810256958007,0.0005306716727506256,5.9894912052679325,0.07375655146054431,17,8,"OrderedDict([('model__alpha', 5.9894912052679325), ('model__eta', 0.07375655146054431), ('model__max_depth', 17), ('model__min_child_weight', 8)])",0.95,0.944,0.945,0.95,0.945,0.9468,0.002638181191654586,20
1,0.16519689559936523,0.011097712414464887,0.014373064041137695,0.0008258621079083476,0.00010426811836320536,0.0844225317894014,14,5,"OrderedDict([('model__alpha', 0.00010426811836320536), ('model__eta', 0.0844225317894014), ('model__max_depth', 14), ('model__min_child_weight', 5)])",0.949,0.944,0.942,0.954,0.951,0.9479999999999998,0.004427188724235735,14
1,0.1909637928009033,0.006074674653592251,0.013675308227539063,0.00043900653586553346,0.0030078877068042227,0.07133018389461138,15,5,"OrderedDict([('model__alpha', 0.0030078877068042227), ('model__eta', 0.07133018389461138), ('model__max_depth', 15), ('model__min_child_weight', 5)])",0.946,0.943,0.942,0.954,0.951,0.9471999999999998,0.004621688003316541,19
1,0.8704088211059571,0.027979102114774626,0.01600055694580078,0.002260872719030158,0.17514566129234743,0.09090193028653319,11,0,"OrderedDict([('model__alpha', 0.17514566129234743), ('model__eta', 0.09090193028653319), ('model__max_depth', 11), ('model__min_child_weight', 0)])",0.946,0.953,0.944,0.944,0.943,0.946,0.0036331804249169933,25
1,1.2954598426818849,0.027677372958882895,0.013918733596801758,0.0018867533179419758,0.0002967300062114459,0.01945454049214606,19,0,"OrderedDict([('model__alpha', 0.0002967300062114459), ('model__eta', 0.01945454049214606), ('model__max_depth', 19), ('model__min_child_weight', 0)])",0.928,0.93,0.938,0.934,0.927,0.9314,0.004079215610874196,45
1,0.060998153686523435,0.0048519416095089965,0.006792449951171875,0.0012681506553683312,1.0377282751501054,0.01694289949502805,1,0,"OrderedDict([('model__alpha', 1.0377282751501054), ('model__eta', 0.01694289949502805), ('model__max_depth', 1), ('model__min_child_weight', 0)])",0.844,0.853,0.845,0.842,0.858,0.8484,0.006086049621881181,50
1,0.28935747146606444,0.007460207381456385,0.014687871932983399,0.0009916935389114616,10.0,0.101,19,0,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.101), ('model__max_depth', 19), ('model__min_child_weight', 0)])",0.948,0.947,0.953,0.952,0.949,0.9498,0.0023151673805580472,3
1,0.24416141510009765,0.007511376738113115,0.01485614776611328,0.001005921155324339,0.13784086676774315,0.101,16,2,"OrderedDict([('model__alpha', 0.13784086676774315), ('model__eta', 0.101), ('model__max_depth', 16), ('model__min_child_weight', 2)])",0.942,0.947,0.944,0.95,0.948,0.9461999999999999,0.0028565713714171423,22
1,0.3284031391143799,0.009445327721104067,0.014544248580932617,0.001804237741419526,10.0,0.05751075421579135,13,0,"OrderedDict([('model__alpha', 10.0), ('model__eta', 0.05751075421579135), ('model__max_depth', 13), ('model__min_child_weight', 0)])",0.949,0.945,0.947,0.951,0.948,0.9480000000000001,0.0020000000000000018,13
1,0.19732584953308105,0.007009896693415403,0.010895395278930664,0.003828459078817251,0.3498903479897765,0.010300512119692526,15,9,"OrderedDict([('model__alpha', 0.3498903479897765), ('model__eta', 0.010300512119692526), ('model__max_depth', 15), ('model__min_child_weight', 9)])",0.934,0.926,0.927,0.931,0.926,0.9288000000000001,0.003187475490101848,47
1,0.1574568271636963,0.007089194814395961,0.010708808898925781,0.0007099799449987052,0.0001238176814684199,0.10056046385544508,7,3,"OrderedDict([('model__alpha', 0.0001238176814684199), ('model__eta', 0.10056046385544508), ('model__max_depth', 7), ('model__min_child_weight', 3)])",0.944,0.942,0.945,0.949,0.947,0.9453999999999999,0.0024166091947189165,27
1,0.1077695369720459,0.004157749871568694,0.012070083618164062,0.0010885543319331251,0.0001,0.101,19,19,"OrderedDict([('model__alpha', 0.0001), ('model__eta', 0.101), ('model__max_depth', 19), ('model__min_child_weight', 19)])",0.946,0.944,0.944,0.949,0.946,0.9457999999999999,0.0018330302779823377,26
1,0.06192283630371094,0.00299952234613964,0.006808805465698242,0.001386824409636491,6.506232222737716,0.10071110267839534,1,11,"OrderedDict([('model__alpha', 6.506232222737716), ('model__eta', 0.10071110267839534), ('model__max_depth', 1), ('model__min_child_weight', 11)])",0.905,0.908,0.9,0.912,0.902,0.9054,0.004270831300812529,49
