dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.102955627441406,0.05186029439897969,0.05599741935729981,0.0008433809179021328,0.8164318732193839,609,10,1148,"{'model__max_features': 0.8164318732193839, 'model__min_samples_leaf': 609, 'model__min_samples_split': 10, 'model__n_estimators': 1148}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.8892953395843506,0.013061174839678868,0.0699350357055664,0.0013952636860200217,0.5081987767407187,2512,30,1795,"{'model__max_features': 0.5081987767407187, 'model__min_samples_leaf': 2512, 'model__min_samples_split': 30, 'model__n_estimators': 1795}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.6107348918914794,0.014097124675286898,0.061809110641479495,0.0012960566361419777,0.5908929431882418,1370,4,1535,"{'model__max_features': 0.5908929431882418, 'model__min_samples_leaf': 1370, 'model__min_samples_split': 4, 'model__n_estimators': 1535}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.9213157653808595,0.013196910506666158,0.0718815803527832,0.000852427764158835,0.22649577519793795,2912,8,1844,"{'model__max_features': 0.22649577519793795, 'model__min_samples_leaf': 2912, 'model__min_samples_split': 8, 'model__n_estimators': 1844}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.3618436813354492,0.0027288314247202374,0.01745157241821289,0.00043877220941893806,0.940523264489604,1960,40,338,"{'model__max_features': 0.940523264489604, 'model__min_samples_leaf': 1960, 'model__min_samples_split': 40, 'model__n_estimators': 338}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.0715234756469725,0.007501077217453077,0.0784153938293457,0.0006704216321242474,0.837710105907328,1803,29,1977,"{'model__max_features': 0.837710105907328, 'model__min_samples_leaf': 1803, 'model__min_samples_split': 29, 'model__n_estimators': 1977}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.9575183391571045,0.2164615886916786,0.07322864532470703,0.010425560123918614,0.11347352124058907,4062,43,1635,"{'model__max_features': 0.11347352124058907, 'model__min_samples_leaf': 4062, 'model__min_samples_split': 43, 'model__n_estimators': 1635}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.391502285003662,0.031654819134404315,0.08059515953063964,0.0013267617772983304,0.22855002179729966,624,58,1596,"{'model__max_features': 0.22855002179729966, 'model__min_samples_leaf': 624, 'model__min_samples_split': 58, 'model__n_estimators': 1596}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.119673490524292,0.014442939447995736,0.044313812255859376,0.0006488498724759187,0.260829174830409,3724,6,1061,"{'model__max_features': 0.260829174830409, 'model__min_samples_leaf': 3724, 'model__min_samples_split': 6, 'model__n_estimators': 1061}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.1726954460144043,0.0069839413985271805,0.046719694137573244,0.0010355859184873356,0.8826363431893397,2057,42,1123,"{'model__max_features': 0.8826363431893397, 'model__min_samples_leaf': 2057, 'model__min_samples_split': 42, 'model__n_estimators': 1123}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.43494091033935545,0.0023652016647823684,0.02024245262145996,0.0008173081949432005,0.7003578299727713,2256,4,404,"{'model__max_features': 0.7003578299727713, 'model__min_samples_leaf': 2256, 'model__min_samples_split': 4, 'model__n_estimators': 404}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.07285623550415,0.07206140498878436,0.07517929077148437,0.00048145639829979474,0.8870864242651173,3192,34,1944,"{'model__max_features': 0.8870864242651173, 'model__min_samples_leaf': 3192, 'model__min_samples_split': 34, 'model__n_estimators': 1944}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.5048655033111573,0.0050316254294816894,0.05822634696960449,0.0008247587547963671,0.8509284487675127,1649,9,1444,"{'model__max_features': 0.8509284487675127, 'model__min_samples_leaf': 1649, 'model__min_samples_split': 9, 'model__n_estimators': 1444}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.1846407413482667,0.005455803213462332,0.04718194007873535,0.0006849870853567494,0.8985541885270792,3924,36,1136,"{'model__max_features': 0.8985541885270792, 'model__min_samples_leaf': 3924, 'model__min_samples_split': 36, 'model__n_estimators': 1136}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,3.3574857234954836,0.1187251166273465,0.12508292198181153,0.001765580473755172,0.1014715428660321,99,26,1885,"{'model__max_features': 0.1014715428660321, 'model__min_samples_leaf': 99, 'model__min_samples_split': 26, 'model__n_estimators': 1885}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.7951879024505615,0.010659697214619865,0.06864457130432129,0.0012637564511807926,0.2839209747374657,4974,19,1730,"{'model__max_features': 0.2839209747374657, 'model__min_samples_leaf': 4974, 'model__min_samples_split': 19, 'model__n_estimators': 1730}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.1804783821105957,0.0013969343893954994,0.01106090545654297,0.000533027323537984,0.6918951976926933,3792,42,161,"{'model__max_features': 0.6918951976926933, 'model__min_samples_leaf': 3792, 'model__min_samples_split': 42, 'model__n_estimators': 161}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.8876265525817871,0.045970298982533,0.03996286392211914,0.01008886391105166,0.018075363615520867,4494,22,816,"{'model__max_features': 0.018075363615520867, 'model__min_samples_leaf': 4494, 'model__min_samples_split': 22, 'model__n_estimators': 816}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.200679874420166,0.0007895276745419307,0.030397415161132812,0.0009394565774006318,0.7464914051180241,1219,18,640,"{'model__max_features': 0.7464914051180241, 'model__min_samples_leaf': 1219, 'model__min_samples_split': 18, 'model__n_estimators': 640}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.5029345989227295,0.0025706652366508293,0.02200794219970703,0.00031115226777430976,0.5683086033354716,4556,52,470,"{'model__max_features': 0.5683086033354716, 'model__min_samples_leaf': 4556, 'model__min_samples_split': 52, 'model__n_estimators': 470}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.2568855285644531,0.007857232367332875,0.014091777801513671,0.0009567218177531893,0.26520236768172545,1694,39,230,"{'model__max_features': 0.26520236768172545, 'model__min_samples_leaf': 1694, 'model__min_samples_split': 39, 'model__n_estimators': 230}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.3665407657623292,0.00882435788234799,0.05404515266418457,0.001336570024227504,0.3930977246667604,2486,9,1307,"{'model__max_features': 0.3930977246667604, 'model__min_samples_leaf': 2486, 'model__min_samples_split': 9, 'model__n_estimators': 1307}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.3131916046142578,0.004605884481961602,0.016102933883666994,0.0006046164034375132,0.43439436551042865,4894,34,284,"{'model__max_features': 0.43439436551042865, 'model__min_samples_leaf': 4894, 'model__min_samples_split': 34, 'model__n_estimators': 284}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.7063056945800781,0.021394931682667293,0.029213094711303712,0.000848760264585654,0.6689240596630996,4549,49,659,"{'model__max_features': 0.6689240596630996, 'model__min_samples_leaf': 4549, 'model__min_samples_split': 49, 'model__n_estimators': 659}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.2513154029846192,0.008845848041807497,0.04894347190856933,0.001224277666270835,0.5720041992091831,3121,18,1196,"{'model__max_features': 0.5720041992091831, 'model__min_samples_leaf': 3121, 'model__min_samples_split': 18, 'model__n_estimators': 1196}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.458042287826538,0.013329635662847004,0.05624270439147949,0.0008612403939453534,0.9404585843529143,2525,47,1397,"{'model__max_features': 0.9404585843529143, 'model__min_samples_leaf': 2525, 'model__min_samples_split': 47, 'model__n_estimators': 1397}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.829557418823242,0.07040674194618307,0.05909838676452637,0.001448170932202433,0.883494022266259,1061,25,1373,"{'model__max_features': 0.883494022266259, 'model__min_samples_leaf': 1061, 'model__min_samples_split': 25, 'model__n_estimators': 1373}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.1822525978088378,0.008168606862275087,0.047223472595214845,0.0013016509837180815,0.42818414831731433,4277,32,1123,"{'model__max_features': 0.42818414831731433, 'model__min_samples_leaf': 4277, 'model__min_samples_split': 32, 'model__n_estimators': 1123}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.9322564125061035,0.004858822755743713,0.04239320755004883,0.0012309776633247745,0.9803315837160457,1140,22,928,"{'model__max_features': 0.9803315837160457, 'model__min_samples_leaf': 1140, 'model__min_samples_split': 22, 'model__n_estimators': 928}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.14936285018920897,0.002851739378601465,0.0106414794921875,0.00033683030945369795,0.8511366715168569,3328,4,128,"{'model__max_features': 0.8511366715168569, 'model__min_samples_leaf': 3328, 'model__min_samples_split': 4, 'model__n_estimators': 128}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,3.529747200012207,0.029239755768967753,0.0979917049407959,0.0015120743650716448,0.3726868670940493,570,4,1896,"{'model__max_features': 0.3726868670940493, 'model__min_samples_leaf': 570, 'model__min_samples_split': 4, 'model__n_estimators': 1896}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,2.075265979766846,0.047670007436227804,0.07675652503967285,0.0012313798069872775,0.0704161308495439,4722,33,1967,"{'model__max_features': 0.0704161308495439, 'model__min_samples_leaf': 4722, 'model__min_samples_split': 33, 'model__n_estimators': 1967}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,0.5294028759002686,0.009011344106969408,0.023276424407958983,0.00042594178391809894,0.9900538501042633,3010,28,490,"{'model__max_features': 0.9900538501042633, 'model__min_samples_leaf': 3010, 'model__min_samples_split': 28, 'model__n_estimators': 490}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,4.69734902381897,0.15576799506018785,0.09068536758422852,0.00979790450171629,0.8773730719279554,785,41,1953,"{'model__max_features': 0.8773730719279554, 'model__min_samples_leaf': 785, 'model__min_samples_split': 41, 'model__n_estimators': 1953}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
0,1.1124821186065674,0.0036225757405412835,0.04478955268859863,0.0008820038367156692,0.13662133144202881,4342,49,1063,"{'model__max_features': 0.13662133144202881, 'model__min_samples_leaf': 4342, 'model__min_samples_split': 49, 'model__n_estimators': 1063}",0.883,0.883,0.883,0.883,0.883,0.883,0.0,3
