dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,3.2795425415039063,0.6261124021728879,0.12357511520385742,0.039455392695557936,0.5085706911647028,0.9168098265334838,1679,1195,"{'model__max_features': 0.5085706911647028, 'model__max_samples': 0.9168098265334838, 'model__min_samples_leaf': 1679, 'model__n_estimators': 1195}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,3.121724796295166,0.6636130023560147,0.10626020431518554,0.001820520298807987,0.2030612247347694,0.9485682135021829,1723,1267,"{'model__max_features': 0.2030612247347694, 'model__max_samples': 0.9485682135021829, 'model__min_samples_leaf': 1723, 'model__n_estimators': 1267}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,4.438659954071045,0.08452098907401001,0.16010441780090331,0.004900416719443564,0.16122128725400442,0.9367278871083158,1598,1977,"{'model__max_features': 0.16122128725400442, 'model__max_samples': 0.9367278871083158, 'model__min_samples_leaf': 1598, 'model__n_estimators': 1977}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,3.2983460903167723,0.30047929471012663,0.11847357749938965,0.011149855842763784,0.10549425983027061,0.5108811134346193,3628,1364,"{'model__max_features': 0.10549425983027061, 'model__max_samples': 0.5108811134346193, 'model__min_samples_leaf': 3628, 'model__n_estimators': 1364}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,3.6659867763519287,0.6273847027482671,0.16376805305480957,0.047567532241640134,0.8925589984899778,0.5854080177240857,1530,1372,"{'model__max_features': 0.8925589984899778, 'model__max_samples': 0.5854080177240857, 'model__min_samples_leaf': 1530, 'model__n_estimators': 1372}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,4.3785247802734375,0.16136898159455573,0.17570176124572753,0.008500140913436417,0.3562978380769749,0.9161455973911786,1307,1982,"{'model__max_features': 0.3562978380769749, 'model__max_samples': 0.9161455973911786, 'model__min_samples_leaf': 1307, 'model__n_estimators': 1982}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,3.3153510093688965,0.5967076059755279,0.11548290252685547,0.0038836971676359513,0.0005203769953158188,0.4173119707007521,1283,1383,"{'model__max_features': 0.0005203769953158188, 'model__max_samples': 0.4173119707007521, 'model__min_samples_leaf': 1283, 'model__n_estimators': 1383}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,4.143990993499756,0.3007859470076936,0.17364377975463868,0.05873793743527592,0.16465585314294173,0.5806804774378977,4414,1701,"{'model__max_features': 0.16465585314294173, 'model__max_samples': 0.5806804774378977, 'model__min_samples_leaf': 4414, 'model__n_estimators': 1701}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,5.2088072299957275,1.1284539186953522,0.23774375915527343,0.024354862505071406,0.6924360328902703,0.34247110041866935,664,1999,"{'model__max_features': 0.6924360328902703, 'model__max_samples': 0.34247110041866935, 'model__min_samples_leaf': 664, 'model__n_estimators': 1999}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
0,2.8557332515716554,0.33334617532454774,0.16681289672851562,0.07760050693761457,0.16829104217293056,0.2968877976157632,1496,1257,"{'model__max_features': 0.16829104217293056, 'model__max_samples': 0.2968877976157632, 'model__min_samples_leaf': 1496, 'model__n_estimators': 1257}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,25
