dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,params_str
2,0.05271978378295898,0.006290368462347402,0.010141420364379882,0.002267759627976735,gini,17,48,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 48, 'model__min_samples_split': 58}",0.8719642632439915,0.8743212242645992,0.8505773828537135,0.8380133770847249,0.8291421049065444,0.8528036704707148,0.017965034131004913,135,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 48, 'model__min_samples_split': 58}"
2,0.05583944320678711,0.00314547625458526,0.008185148239135742,0.0015742003059080435,gini,17,15,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 15, 'model__min_samples_split': 58}",0.8582532353766781,0.8909264260340137,0.84239335598339,0.8581080427060042,0.8467007385467182,0.8592763597293608,0.017013644576120868,59,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 15, 'model__min_samples_split': 58}"
2,0.060144996643066405,0.0026422351832815325,0.010427045822143554,0.001805313556691368,gini,17,8,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 8, 'model__min_samples_split': 58}",0.8583403509790825,0.9046519731683945,0.8488641093397604,0.8703526245995103,0.8611861273242927,0.8686790370822081,0.019248462350310337,24,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 8, 'model__min_samples_split': 58}"
2,0.058823680877685545,0.008516917050459474,0.010606622695922852,0.0030736688963044463,gini,17,14,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 14, 'model__min_samples_split': 58}",0.856752911113047,0.8879838545750209,0.8420884513749747,0.8736484982238095,0.846618462700003,0.8614184355973709,0.01714497316311366,42,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 14, 'model__min_samples_split': 58}"
2,0.05577845573425293,0.0031623687056410426,0.01092839241027832,0.0021102706127044224,gini,17,23,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 23, 'model__min_samples_split': 58}",0.8535731916252867,0.8664663007811366,0.8605908373745295,0.8603972471469639,0.8439662765823582,0.856998770702055,0.007689827123096347,76,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 23, 'model__min_samples_split': 58}"
2,0.05218501091003418,0.00566527723748805,0.010151815414428712,0.0038234629156877692,gini,17,60,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 60, 'model__min_samples_split': 58}",0.8813388700138416,0.8661710756840995,0.8482155820774168,0.844111469253032,0.8470395214449575,0.8573753036946694,0.014270783542171716,69,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 60, 'model__min_samples_split': 58}"
2,0.04737963676452637,0.005148640814127584,0.012339162826538085,0.003980534777392388,gini,17,57,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 57, 'model__min_samples_split': 58}",0.880985567848535,0.8685038379262615,0.8470685599790923,0.8438114044003059,0.8411640580383501,0.8563066856385089,0.01567540711193825,89,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 57, 'model__min_samples_split': 58}"
2,0.05107059478759766,0.00334023577275847,0.011860418319702148,0.0031533036612771364,gini,17,40,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 40, 'model__min_samples_split': 58}",0.873846928207064,0.8698734887862861,0.8419964960168811,0.8373067727541114,0.8281596345016504,0.8502366640531986,0.01825117613254659,189,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 40, 'model__min_samples_split': 58}"
2,0.05613718032836914,0.004205935945393296,0.013739204406738282,0.0011775353929626016,gini,17,21,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 21, 'model__min_samples_split': 58}",0.8538393781881891,0.8729031758476833,0.8654935098876209,0.8501514843530699,0.8580160873479108,0.8600807271248948,0.008191708545416688,50,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 21, 'model__min_samples_split': 58}"
2,0.06924285888671874,0.0056638489962973,0.010595941543579101,0.002896497792975992,gini,17,16,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 16, 'model__min_samples_split': 58}",0.8531956906815346,0.8909603043238378,0.8425288691426858,0.8579144524784389,0.8424127150061466,0.8574024063265286,0.017832577604019125,67,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 16, 'model__min_samples_split': 58}"
2,0.04515538215637207,0.004793927520975303,0.009622621536254882,0.002342343159416946,gini,17,45,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 45, 'model__min_samples_split': 58}",0.8747422830095537,0.8701348355934992,0.8543281935127915,0.8319685222289979,0.8305262750336362,0.8523400218756958,0.01851111598345339,150,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 45, 'model__min_samples_split': 58}"
2,0.05512838363647461,0.005178708587768572,0.010686349868774415,0.0026274619779646444,gini,17,18,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 18, 'model__min_samples_split': 58}",0.8500692085063545,0.891700786944275,0.8374568051804744,0.8550831954002962,0.8525374839078124,0.8573694959878425,0.018204518682764508,70,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 18, 'model__min_samples_split': 58}"
2,0.050479984283447264,0.0038368984667125597,0.012778425216674804,0.005097325020841679,gini,17,47,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 47, 'model__min_samples_split': 58}",0.8732129202117878,0.8747761612993776,0.8491254561469738,0.8376745941864855,0.8327283638721916,0.8535034991433633,0.017563115738410233,115,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 47, 'model__min_samples_split': 58}"
2,0.04733729362487793,0.007763181113115838,0.007415580749511719,0.0007506620439051457,gini,17,53,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 53, 'model__min_samples_split': 58}",0.8767120635750307,0.8730580480297354,0.845892499346633,0.83736968957807,0.8364017384402435,0.8538868077939424,0.017498460307478956,109,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 53, 'model__min_samples_split': 58}"
2,0.054072237014770506,0.004377626602926889,0.011372613906860351,0.0037160095390404947,gini,17,24,58,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 24, 'model__min_samples_split': 58}",0.8574353166652147,0.8622508735759018,0.8551509519799441,0.8236828604892026,0.851400141320866,0.8499840288062257,0.013612134997409155,194,"{'model__criterion': 'gini', 'model__max_depth': 17, 'model__min_samples_leaf': 24, 'model__min_samples_split': 58}"
