dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_impurity_decrease,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.03182063102722168,0.0042314677230683405,0.011287975311279296,0.003710845836507069,7,0.289751452913768,22,29,"{'model__max_depth': 7, 'model__min_impurity_decrease': 0.289751452913768, 'model__min_samples_leaf': 22, 'model__min_samples_split': 29}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.03822560310363769,0.004064466090709887,0.011428499221801757,0.0026700630374147574,2,0.6243540481337932,57,54,"{'model__max_depth': 2, 'model__min_impurity_decrease': 0.6243540481337932, 'model__min_samples_leaf': 57, 'model__min_samples_split': 54}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.037643814086914064,0.001203961688508649,0.012680673599243164,0.0013929941243102646,6,0.45653457048291024,44,45,"{'model__max_depth': 6, 'model__min_impurity_decrease': 0.45653457048291024, 'model__min_samples_leaf': 44, 'model__min_samples_split': 45}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.03231692314147949,0.005435641389108767,0.011139154434204102,0.0012492968834817715,20,0.8925589984899778,11,59,"{'model__max_depth': 20, 'model__min_impurity_decrease': 0.8925589984899778, 'model__min_samples_leaf': 11, 'model__min_samples_split': 59}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04246516227722168,0.007470496287871392,0.014872550964355469,0.0006804159153489098,23,0.8960912999234932,39,34,"{'model__max_depth': 23, 'model__min_impurity_decrease': 0.8960912999234932, 'model__min_samples_leaf': 39, 'model__min_samples_split': 34}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.039989137649536134,0.002066278345950805,0.01495504379272461,0.0019462927536217929,1,0.22793516254194168,57,53,"{'model__max_depth': 1, 'model__min_impurity_decrease': 0.22793516254194168, 'model__min_samples_leaf': 57, 'model__min_samples_split': 53}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04842853546142578,0.004592631249651411,0.01364130973815918,0.0016319144615934637,13,0.8607305832563434,39,7,"{'model__max_depth': 13, 'model__min_impurity_decrease': 0.8607305832563434, 'model__min_samples_leaf': 39, 'model__min_samples_split': 7}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04490585327148437,0.0052716154514410325,0.01835455894470215,0.00458704653968808,8,0.534089419375442,37,34,"{'model__max_depth': 8, 'model__min_impurity_decrease': 0.534089419375442, 'model__min_samples_leaf': 37, 'model__min_samples_split': 34}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.053113126754760744,0.010316243183671931,0.014044237136840821,0.0018438989034042378,19,0.2694123337985215,24,16,"{'model__max_depth': 19, 'model__min_impurity_decrease': 0.2694123337985215, 'model__min_samples_leaf': 24, 'model__min_samples_split': 16}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
0,0.04982790946960449,0.005515124270049291,0.014110517501831055,0.002424477015826911,27,0.32320293202075523,32,25,"{'model__max_depth': 27, 'model__min_impurity_decrease': 0.32320293202075523, 'model__min_samples_leaf': 32, 'model__min_samples_split': 25}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,7
